Publisher Name,URL,Brand Search Volume,Domain Type,Classifier-A1
KSN,ksn.com/,"40,500",Content Focused (CF),Local Publication (LP)
KTVA,ktva.com/,"40,500",Content Focused (CF),Local Publication (LP)
Shelby Star,shelbystar.com/,"40,500",Content Focused (CF),Local Publication (LP)
ABC 7,abc7.com/,"40,500",Content Focused (CF),Local Publication (LP)
Fox 5 San Diego,fox5sandiego.com/,"40,500",Content Focused (CF),Local Publication (LP)
Fox 61,fox61.com/,"40,500",Content Focused (CF),Local Publication (LP)
Local 12,local12.com/,"40,500",Content Focused (CF),Local Publication (LP)
WGEM,wgem.com/,"40,500",Content Focused (CF),Local Publication (LP)
WJLA,wjla.com/,"40,500",Content Focused (CF),Local Publication (LP)
12 News,12news.com/,"40,500",Content Focused (CF),Local Publication (LP)
Florida Today,floridatoday.com/,"40,500",Content Focused (CF),Local Publication (LP)
KESQ,kesq.com/,"40,500",Content Focused (CF),Local Publication (LP)
KSN,ksn.com/,"40,500",Content Focused (CF),Local Publication (LP)
Las Vegas Review Journal,reviewjournal.com/,"40,500",Content Focused (CF),Local Publication (LP)
Star Telegram,star-telegram.com/,"40,500",Content Focused (CF),Local Publication (LP)
Statesman Journal,statesmanjournal.com/,"40,500",Content Focused (CF),Local Publication (LP)
Tri City Herald,tri-cityherald.com/,"40,500",Content Focused (CF),Local Publication (LP)
Tuscaloosa News,tuscaloosanews.com/,"40,500",Content Focused (CF),Local Publication (LP)
Twin Cities,twincities.com/,"40,500",Content Focused (CF),Local Publication (LP)
WDTN,wdtn.com/,"40,500",Content Focused (CF),Local Publication (LP)
WISN,wisn.com/,"40,500",Content Focused (CF),Local Publication (LP)
WSLS,wsls.com/,"40,500",Content Focused (CF),Local Publication (LP)
CSNNE,csnne.com/,"33,100",Content Focused (CF),Local Publication (LP)
Daily Journal,dailyjournal.net/,"33,100",Content Focused (CF),Local Publication (LP)
KRGV,krgv.com/,"33,100",Content Focused (CF),Local Publication (LP)
News Channel 10,newschannel10.com/,"33,100",Content Focused (CF),Local Publication (LP)
News West 9,newswest9.com/,"33,100",Content Focused (CF),Local Publication (LP)
Norwich Bulletin,norwichbulletin.com/,"33,100",Content Focused (CF),Local Publication (LP)
Sheboygan Press,sheboyganpress.com/,"33,100",Content Focused (CF),Local Publication (LP)
Springfield News Sun,springfieldnewssun.com/,"33,100",Content Focused (CF),Local Publication (LP)
Sun Journal,sunjournal.com/,"33,100",Content Focused (CF),Local Publication (LP)
Daily Journal,thedailyjournal.com/,"33,100",Content Focused (CF),Local Publication (LP)
The Republic,therepublic.com/,"33,100",Content Focused (CF),Local Publication (LP)
WMBF News,wmbfnews.com/,"33,100",Content Focused (CF),Local Publication (LP)
WMTW,wmtw.com/,"33,100",Content Focused (CF),Local Publication (LP)
WRIC,wric.com/,"33,100",Content Focused (CF),Local Publication (LP)
Journal Star,journalstar.com/,"33,100",Content Focused (CF),Local Publication (LP)
News 10,ktvl.com/,"33,100",Content Focused (CF),Local Publication (LP)
WEAR TV,weartv.com/,"33,100",Content Focused (CF),Local Publication (LP)
WKOW,wkow.com/,"33,100",Content Focused (CF),Local Publication (LP)
WVVA,wvva.com/,"33,100",Content Focused (CF),Local Publication (LP)
ABC 12,abc12.com/,"33,100",Content Focused (CF),Local Publication (LP)
East Bay Times,eastbaytimes.com/,"33,100",Content Focused (CF),Local Publication (LP)
Journal News,journal-news.com/,"33,100",Content Focused (CF),Local Publication (LP)
KEYT,keyt.com/,"33,100",Content Focused (CF),Local Publication (LP)
KTBS,ktbs.com/,"33,100",Content Focused (CF),Local Publication (LP)
The Telegraph,macon.com/,"33,100",Content Focused (CF),Local Publication (LP)
NBC Bay Area,nbcbayarea.com/,"33,100",Content Focused (CF),Local Publication (LP)
News 10,news10.com/,"33,100",Content Focused (CF),Local Publication (LP)
The Oregonian,oregonlive.com/,"33,100",Content Focused (CF),Local Publication (LP)
Penn Live,pennlive.com/,"33,100",Content Focused (CF),Local Publication (LP)
Post Bulletin,postbulletin.com/,"33,100",Content Focused (CF),Local Publication (LP)
Seattle Pi,seattlepi.com/,"33,100",Content Focused (CF),Local Publication (LP)
The Ledger,theledger.com/,"33,100",Content Focused (CF),Local Publication (LP)
The Olympian,theolympian.com/,"33,100",Content Focused (CF),Local Publication (LP)
The Telegraph,thetelegraph.com/,"33,100",Content Focused (CF),Local Publication (LP)
WABI,wabi.tv/,"33,100",Content Focused (CF),Local Publication (LP)
WBAL TV,wbaltv.com/,"33,100",Content Focused (CF),Local Publication (LP)
WCNC,wcnc.com/,"33,100",Content Focused (CF),Local Publication (LP)
WDTV,wdtv.com/,"33,100",Content Focused (CF),Local Publication (LP)
WZZM 13,wzzm13.com/,"33,100",Content Focused (CF),Local Publication (LP)
Chillicothe Gazette,chillicothegazette.com/,"27,100",Content Focused (CF),Local Publication (LP)
The Columbian,columbian.com/,"27,100",Content Focused (CF),Local Publication (LP)
Fox 5 Atlanta,fox5atlanta.com/,"27,100",Content Focused (CF),Local Publication (LP)
Fox 5,fox5ny.com/,"27,100",Content Focused (CF),Local Publication (LP)
KOAA,koaa.com/,"27,100",Content Focused (CF),Local Publication (LP)
Kold,kold.com/,"27,100",Content Focused (CF),Local Publication (LP)
KTIV,ktiv.com/,"27,100",Content Focused (CF),Local Publication (LP)
Lima Ohio,limaohio.com/,"27,100",Content Focused (CF),Local Publication (LP)
Minot Daily News,minotdailynews.com/,"27,100",Content Focused (CF),Local Publication (LP)
Providence Journal,providencejournal.com/,"27,100",Content Focused (CF),Local Publication (LP)
The Union,theunion.com/,"27,100",Content Focused (CF),Local Publication (LP)
Times Reporter,timesreporter.com/,"27,100",Content Focused (CF),Local Publication (LP)
WBTW,wbtw.com/,"27,100",Content Focused (CF),Local Publication (LP)
WSB Radio,wsbradio.com/,"27,100",Content Focused (CF),Local Publication (LP)
Globe Gazette,globegazette.com/,"27,100",Content Focused (CF),Local Publication (LP)
KTIV,ktiv.com/,"27,100",Content Focused (CF),Local Publication (LP)
KTUL,ktul.com/,"27,100",Content Focused (CF),Local Publication (LP)
KTVO,ktvo.com/,"27,100",Content Focused (CF),Local Publication (LP)
Las Vegas Sun,lasvegassun.com/,"27,100",Content Focused (CF),Local Publication (LP)
11 Alive,11alive.com/,"27,100",Content Focused (CF),Local Publication (LP)
KBMT,12newsnow.com/,"27,100",Content Focused (CF),Local Publication (LP)
9 and 10 News,9and10news.com/,"27,100",Content Focused (CF),Local Publication (LP)
Action News Now,actionnewsnow.com/,"27,100",Content Focused (CF),Local Publication (LP)
AZ Central,azcentral.com/,"27,100",Content Focused (CF),Local Publication (LP)
Beaumont Enterprise,beaumontenterprise.com/,"27,100",Content Focused (CF),Local Publication (LP)
CBS 7,cbs7.com/,"27,100",Content Focused (CF),Local Publication (LP)
Coloradoan,coloradoan.com/,"27,100",Content Focused (CF),Local Publication (LP)
News 2,counton2.com/,"27,100",Content Focused (CF),Local Publication (LP)
Daily Breeze,dailybreeze.com/,"27,100",Content Focused (CF),Local Publication (LP)
Great Falls Tribune,greatfallstribune.com/,"27,100",Content Focused (CF),Local Publication (LP)
Greenwich Time,greenwichtime.com/,"27,100",Content Focused (CF),Local Publication (LP)
Gwinnett Daily Post,gwinnettdailypost.com/,"27,100",Content Focused (CF),Local Publication (LP)
KALB,kalb.com/,"27,100",Content Focused (CF),Local Publication (LP)
KREM,krem.com/,"27,100",Content Focused (CF),Local Publication (LP)
KSHB,kshb.com/,"27,100",Content Focused (CF),Local Publication (LP)
Local News 8,localnews8.com/,"27,100",Content Focused (CF),Local Publication (LP)
Metrowest Daily News,metrowestdailynews.com/,"27,100",Content Focused (CF),Local Publication (LP)
The Press Democrat,pressdemocrat.com/,"27,100",Content Focused (CF),Local Publication (LP)
Record Courier,record-courier.com/,"27,100",Content Focused (CF),Local Publication (LP)
Santa Cruz Sentinel,santacruzsentinel.com/,"27,100",Content Focused (CF),Local Publication (LP)
The Tennessean,tennessean.com/,"27,100",Content Focused (CF),Local Publication (LP)
Wausau Daily Herald,wausaudailyherald.com/,"27,100",Content Focused (CF),Local Publication (LP)
WIFR,wifr.com/,"27,100",Content Focused (CF),Local Publication (LP)
Holland Sentinel,hollandsentinel.com/,"22,200",Content Focused (CF),Local Publication (LP)
Jamestown Sun,jamestownsun.com/,"22,200",Content Focused (CF),Local Publication (LP)
KTRE,ktre.com/,"22,200",Content Focused (CF),Local Publication (LP)
KXXV,kxxv.com/,"22,200",Content Focused (CF),Local Publication (LP)
Tucson News Now,tucsonnewsnow.com/,"22,200",Content Focused (CF),Local Publication (LP)
Valley News,valleynewslive.com/,"22,200",Content Focused (CF),Local Publication (LP)
Western Mass News,westernmassnews.com/,"22,200",Content Focused (CF),Local Publication (LP)
WLNS,wlns.com/,"22,200",Content Focused (CF),Local Publication (LP)
WSAV,wsav.com/,"22,200",Content Focused (CF),Local Publication (LP)
WTRF,wtrf.com/,"22,200",Content Focused (CF),Local Publication (LP)
6 ABC,6abc.com/,"22,200",Content Focused (CF),Local Publication (LP)
Hanford Sentinel,hanfordsentinel.com/,"22,200",Content Focused (CF),Local Publication (LP)
KHQA,khqa.com/,"22,200",Content Focused (CF),Local Publication (LP)
Santa Maria Times,santamariatimes.com/,"22,200",Content Focused (CF),Local Publication (LP)
